,Time,1
S/N,,759293
Type,,TGPR-1201
Description,,id14
Property,,Count
118,2019-02-07 01:25:00,0.0 per Logging Interval
119,2019-02-07 01:30:00,0.0 per Logging Interval
120,2019-02-07 01:35:00,0.0 per Logging Interval
121,2019-02-07 01:40:00,0.0 per Logging Interval
122,2019-02-07 01:45:00,0.0 per Logging Interval
123,2019-02-07 01:50:00,0.0 per Logging Interval
124,2019-02-07 01:55:00,0.0 per Logging Interval
125,2019-02-07 02:00:00,0.0 per Logging Interval
126,2019-02-07 02:05:00,0.0 per Logging Interval
127,2019-02-07 02:10:00,0.0 per Logging Interval
128,2019-02-07 02:15:00,0.0 per Logging Interval
129,2019-02-07 02:20:00,0.0 per Logging Interval
130,2019-02-07 02:25:00,0.0 per Logging Interval
131,2019-02-07 02:30:00,0.0 per Logging Interval
132,2019-02-07 02:35:00,0.0 per Logging Interval
133,2019-02-07 02:40:00,0.0 per Logging Interval
134,2019-02-07 02:45:00,0.0 per Logging Interval
135,2019-02-07 02:50:00,0.0 per Logging Interval
136,2019-02-07 02:55:00,0.0 per Logging Interval
137,2019-02-07 03:00:00,0.0 per Logging Interval
138,2019-02-07 03:05:00,0.0 per Logging Interval
139,2019-02-07 03:10:00,0.0 per Logging Interval
140,2019-02-07 03:15:00,0.0 per Logging Interval
141,2019-02-07 03:20:00,0.0 per Logging Interval
142,2019-02-07 03:25:00,0.0 per Logging Interval
143,2019-02-07 03:30:00,0.0 per Logging Interval
144,2019-02-07 03:35:00,0.0 per Logging Interval
145,2019-02-07 03:40:00,0.0 per Logging Interval
146,2019-02-07 03:45:00,0.0 per Logging Interval
147,2019-02-07 03:50:00,0.0 per Logging Interval
148,2019-02-07 03:55:00,0.0 per Logging Interval
149,2019-02-07 04:00:00,0.0 per Logging Interval
150,2019-02-07 04:05:00,0.0 per Logging Interval
151,2019-02-07 04:10:00,0.0 per Logging Interval
152,2019-02-07 04:15:00,0.0 per Logging Interval
153,2019-02-07 04:20:00,0.0 per Logging Interval
154,2019-02-07 04:25:00,0.0 per Logging Interval
155,2019-02-07 04:30:00,0.0 per Logging Interval
156,2019-02-07 04:35:00,0.0 per Logging Interval
157,2019-02-07 04:40:00,0.0 per Logging Interval
158,2019-02-07 04:45:00,0.0 per Logging Interval
159,2019-02-07 04:50:00,0.0 per Logging Interval
160,2019-02-07 04:55:00,0.0 per Logging Interval
161,2019-02-07 05:00:00,0.0 per Logging Interval
162,2019-02-07 05:05:00,0.0 per Logging Interval
163,2019-02-07 05:10:00,0.0 per Logging Interval
164,2019-02-07 05:15:00,0.0 per Logging Interval
165,2019-02-07 05:20:00,0.0 per Logging Interval
166,2019-02-07 05:25:00,0.0 per Logging Interval
167,2019-02-07 05:30:00,0.0 per Logging Interval
168,2019-02-07 05:35:00,0.0 per Logging Interval
169,2019-02-07 05:40:00,0.0 per Logging Interval
170,2019-02-07 05:45:00,0.0 per Logging Interval
171,2019-02-07 05:50:00,0.0 per Logging Interval
172,2019-02-07 05:55:00,0.0 per Logging Interval
173,2019-02-07 06:00:00,0.0 per Logging Interval
174,2019-02-07 06:05:00,0.0 per Logging Interval
175,2019-02-07 06:10:00,0.0 per Logging Interval
176,2019-02-07 06:15:00,0.0 per Logging Interval
177,2019-02-07 06:20:00,0.0 per Logging Interval
178,2019-02-07 06:25:00,0.0 per Logging Interval
179,2019-02-07 06:30:00,0.0 per Logging Interval
180,2019-02-07 06:35:00,0.0 per Logging Interval
181,2019-02-07 06:40:00,0.0 per Logging Interval
182,2019-02-07 06:45:00,0.0 per Logging Interval
183,2019-02-07 06:50:00,0.0 per Logging Interval
184,2019-02-07 06:55:00,0.0 per Logging Interval
185,2019-02-07 07:00:00,0.0 per Logging Interval
186,2019-02-07 07:05:00,0.0 per Logging Interval
187,2019-02-07 07:10:00,0.0 per Logging Interval
188,2019-02-07 07:15:00,0.0 per Logging Interval
189,2019-02-07 07:20:00,0.0 per Logging Interval
190,2019-02-07 07:25:00,0.0 per Logging Interval
191,2019-02-07 07:30:00,0.0 per Logging Interval
192,2019-02-07 07:35:00,0.0 per Logging Interval
193,2019-02-07 07:40:00,0.0 per Logging Interval
194,2019-02-07 07:45:00,0.0 per Logging Interval
195,2019-02-07 07:50:00,0.0 per Logging Interval
196,2019-02-07 07:55:00,0.0 per Logging Interval
197,2019-02-07 08:00:00,0.0 per Logging Interval
198,2019-02-07 08:05:00,0.0 per Logging Interval
