,Time,1
S/N,,759293
Type,,TGPR-1201
Description,,id14
Property,,Count
1,2019-07-17 16:20:00,0.0 per Logging Interval
2,2019-07-17 16:25:00,0.0 per Logging Interval
3,2019-07-17 16:30:00,0.0 per Logging Interval
4,2019-07-17 16:35:00,0.0 per Logging Interval
5,2019-07-17 16:40:00,0.0 per Logging Interval
6,2019-07-17 16:45:00,0.0 per Logging Interval
7,2019-07-17 16:50:00,0.0 per Logging Interval
8,2019-07-17 16:55:00,0.0 per Logging Interval
9,2019-07-17 17:00:00,0.0 per Logging Interval
10,2019-07-17 17:05:00,0.0 per Logging Interval
11,2019-07-17 17:10:00,0.0 per Logging Interval
12,2019-07-17 17:15:00,0.0 per Logging Interval
13,2019-07-17 17:20:00,0.0 per Logging Interval
14,2019-07-17 17:25:00,0.0 per Logging Interval
15,2019-07-17 17:30:00,0.0 per Logging Interval
16,2019-07-17 17:35:00,0.0 per Logging Interval
17,2019-07-17 17:40:00,0.0 per Logging Interval
18,2019-07-17 17:45:00,0.0 per Logging Interval
19,2019-07-17 17:50:00,0.0 per Logging Interval
20,2019-07-17 17:55:00,0.0 per Logging Interval
21,2019-07-17 18:00:00,0.0 per Logging Interval
22,2019-07-17 18:05:00,0.0 per Logging Interval
23,2019-07-17 18:10:00,0.0 per Logging Interval
24,2019-07-17 18:15:00,0.0 per Logging Interval
25,2019-07-17 18:20:00,0.0 per Logging Interval
26,2019-07-17 18:25:00,0.0 per Logging Interval
27,2019-07-17 18:30:00,0.0 per Logging Interval
28,2019-07-17 18:35:00,0.0 per Logging Interval
29,2019-07-17 18:40:00,0.0 per Logging Interval
30,2019-07-17 18:45:00,0.0 per Logging Interval
31,2019-07-17 18:50:00,0.0 per Logging Interval
32,2019-07-17 18:55:00,0.0 per Logging Interval
33,2019-07-17 19:00:00,0.0 per Logging Interval
34,2019-07-17 19:05:00,0.0 per Logging Interval
35,2019-07-17 19:10:00,0.0 per Logging Interval
36,2019-07-17 19:15:00,0.0 per Logging Interval
37,2019-07-17 19:20:00,0.0 per Logging Interval
38,2019-07-17 19:25:00,0.0 per Logging Interval
39,2019-07-17 19:30:00,0.0 per Logging Interval
40,2019-07-17 19:35:00,0.0 per Logging Interval
41,2019-07-17 19:40:00,0.0 per Logging Interval
42,2019-07-17 19:45:00,0.0 per Logging Interval
43,2019-07-17 19:50:00,0.0 per Logging Interval
44,2019-07-17 19:55:00,0.0 per Logging Interval
45,2019-07-17 20:00:00,0.0 per Logging Interval
46,2019-07-17 20:05:00,0.0 per Logging Interval
47,2019-07-17 20:10:00,0.0 per Logging Interval
48,2019-07-17 20:15:00,0.0 per Logging Interval
49,2019-07-17 20:20:00,0.0 per Logging Interval
50,2019-07-17 20:25:00,0.0 per Logging Interval
51,2019-07-17 20:30:00,0.0 per Logging Interval
52,2019-07-17 20:35:00,0.0 per Logging Interval
53,2019-07-17 20:40:00,0.0 per Logging Interval
54,2019-07-17 20:45:00,0.0 per Logging Interval
55,2019-07-17 20:50:00,0.0 per Logging Interval
56,2019-07-17 20:55:00,0.0 per Logging Interval
57,2019-07-17 21:00:00,0.0 per Logging Interval
58,2019-07-17 21:05:00,0.0 per Logging Interval
59,2019-07-17 21:10:00,0.0 per Logging Interval
60,2019-07-17 21:15:00,0.0 per Logging Interval
61,2019-07-17 21:20:00,0.0 per Logging Interval
62,2019-07-17 21:25:00,0.0 per Logging Interval
63,2019-07-17 21:30:00,0.0 per Logging Interval
64,2019-07-17 21:35:00,0.0 per Logging Interval
65,2019-07-17 21:40:00,0.0 per Logging Interval
66,2019-07-17 21:45:00,0.0 per Logging Interval
67,2019-07-17 21:50:00,0.0 per Logging Interval
68,2019-07-17 21:55:00,0.0 per Logging Interval
69,2019-07-17 22:00:00,0.0 per Logging Interval
70,2019-07-17 22:05:00,0.0 per Logging Interval
71,2019-07-17 22:10:00,0.0 per Logging Interval
72,2019-07-17 22:15:00,0.0 per Logging Interval
73,2019-07-17 22:20:00,0.0 per Logging Interval
74,2019-07-17 22:25:00,0.0 per Logging Interval
75,2019-07-17 22:30:00,0.0 per Logging Interval
76,2019-07-17 22:35:00,0.0 per Logging Interval
77,2019-07-17 22:40:00,0.0 per Logging Interval
78,2019-07-17 22:45:00,0.0 per Logging Interval
79,2019-07-17 22:50:00,0.0 per Logging Interval
80,2019-07-17 22:55:00,0.0 per Logging Interval
81,2019-07-17 23:00:00,0.0 per Logging Interval
82,2019-07-17 23:05:00,0.0 per Logging Interval
83,2019-07-17 23:10:00,0.0 per Logging Interval
84,2019-07-17 23:15:00,0.0 per Logging Interval
85,2019-07-17 23:20:00,0.0 per Logging Interval
86,2019-07-17 23:25:00,0.0 per Logging Interval
